architecture,patient,factor,repeat,probability_IC_change
GCN,54,0.95,6,-0.007849007844924927
GCN,54,0.95,7,0.017569273710250854
GCN,54,0.95,8,0.018044590950012207
GCN,54,0.95,9,-0.012934386730194092
GCN,54,0.95,10,0.021635472774505615
GCN,54,0.95,11,-0.007513821125030518
GCN,54,0.95,12,0.005397200584411621
GCN,54,0.95,13,-0.0003643333911895752
GCN,54,0.95,14,-0.018808960914611816
GCN,54,0.95,15,0.010591089725494385
GCN,54,0.95,16,0.024303674697875977
GCN,54,0.95,17,0.014760375022888184
GCN,54,0.95,18,0.018607109785079956
GCN,54,0.95,19,0.021121740341186523
GCN,54,1.05,0,0.018623769283294678
GCN,54,1.05,1,4.738569259643555e-05
GCN,54,1.05,2,0.002975761890411377
GCN,54,1.05,3,0.01464146375656128
GCN,54,1.05,4,0.012046217918395996
GCN,54,1.05,5,-0.013682425022125244
GCN,54,1.05,6,0.007617950439453125
GCN,54,1.05,7,-0.019466549158096313
GCN,54,1.05,8,0.00012442469596862793
GCN,54,1.05,9,0.0023315846920013428
GCN,54,1.05,10,0.013077229261398315
GCN,54,1.05,11,0.007306337356567383
GCN,54,1.05,12,-0.015417337417602539
GCN,54,1.05,13,0.014004439115524292
GCN,54,1.05,14,-0.012772917747497559
GCN,54,1.05,15,-0.015162944793701172
GCN,54,1.05,16,-0.0068382322788238525
GCN,54,1.05,17,-0.019638776779174805
GCN,54,1.05,18,0.0014497637748718262
