patient,split,seed,fraction,count,method,control,signed_change,absolute_change
TCGA-A1-A0SP,development,23,0.1,15,random,0,-0.007542788982391357,0.007542788982391357
TCGA-A1-A0SP,development,23,0.1,15,random,1,0.0188351571559906,0.0188351571559906
TCGA-A1-A0SP,development,23,0.1,15,random,2,-0.0010367333889007568,0.0010367333889007568
TCGA-A1-A0SP,development,23,0.1,15,random,3,0.006568998098373413,0.006568998098373413
TCGA-A1-A0SP,development,23,0.1,15,random,4,-0.006515145301818848,0.006515145301818848
TCGA-A1-A0SP,development,23,0.1,15,random,5,0.01997661590576172,0.01997661590576172
TCGA-A1-A0SP,development,23,0.1,15,random,6,0.0032526254653930664,0.0032526254653930664
TCGA-A1-A0SP,development,23,0.1,15,random,7,0.012259125709533691,0.012259125709533691
TCGA-A1-A0SP,development,23,0.1,15,random,8,0.003397524356842041,0.003397524356842041
TCGA-A1-A0SP,development,23,0.1,15,random,9,0.0031074583530426025,0.0031074583530426025
TCGA-A1-A0SP,development,23,0.1,15,random,10,0.011636972427368164,0.011636972427368164
TCGA-A1-A0SP,development,23,0.1,15,random,11,-0.003124833106994629,0.003124833106994629
TCGA-A1-A0SP,development,23,0.1,15,random,12,0.003220111131668091,0.003220111131668091
TCGA-A1-A0SP,development,23,0.1,15,random,13,0.0002847015857696533,0.0002847015857696533
TCGA-A1-A0SP,development,23,0.1,15,random,14,0.002061307430267334,0.002061307430267334
TCGA-A1-A0SP,development,23,0.1,15,random,15,0.00369146466255188,0.00369146466255188
TCGA-A1-A0SP,development,23,0.1,15,random,16,0.03418800234794617,0.03418800234794617
TCGA-A1-A0SP,development,23,0.1,15,random,17,0.005105942487716675,0.005105942487716675
TCGA-A1-A0SP,development,23,0.1,15,random,18,0.012861698865890503,0.012861698865890503
TCGA-A1-A0SP,development,23,0.1,15,random,19,-0.019010275602340698,0.019010275602340698
TCGA-A1-A0SP,development,23,0.2,30,gnnexplainer,-1,0.025370776653289795,0.025370776653289795
TCGA-A1-A0SP,development,23,0.2,30,random,0,0.007458865642547607,0.007458865642547607
TCGA-A1-A0SP,development,23,0.2,30,random,1,-0.011621147394180298,0.011621147394180298
TCGA-A1-A0SP,development,23,0.2,30,random,2,0.00846812129020691,0.00846812129020691
